,Zone_Name,Crop_Year,Crop,Area,Production
2,Abeshge,2000,Rice,102.0,321.0
12,Abeshge,2001,Rice,83.0,300.0
18,Abeshge,2002,Rice,189.2,510.84
27,Abeshge,2003,Rice,52.0,90.17
36,Abeshge,2004,Rice,52.94,72.57
45,Abeshge,2005,Rice,2.09,12.06
64,Abeshge,2010,Rice,3.5,10.0
81,Abeshge,2000,Rice,10779.0,31863.0
92,Abeshge,2001,Rice,9718.0,27033.0
98,Abeshge,2006,Rice,6854.3,18995.62
111,Abeshge,2010,Rice,6791.0,20118.0
129,Abeshge,2002,Rice,10695.8,31600.82
139,Abeshge,2003,Rice,10509.37,30760.7
149,Abeshge,2004,Rice,10681.98,29119.66
159,Abeshge,2005,Rice,8683.38,25870.98
172,Abeshge,2006,Rice,921.87,2539.64
185,Abeshge,2010,Rice,1595.5,3788.0
216,Butajira,1997,Rice,35600.0,75400.0
228,Butajira,1997,Rice,18000.0,37300.0
230,Butajira,1997,Wheat,300.0,200.0
244,Butajira,1998,Rice,38300.0,96800.0
253,Butajira,1998,Rice,26600.0,63900.0
255,Butajira,1998,Wheat,400.0,200.0
268,Butajira,1999,Rice,37991.0,105082.0
281,Butajira,1999,Rice,20258.0,45669.0
284,Butajira,1999,Wheat,439.0,294.0
286,Butajira,1999,Onion,1770.0,32364.0
300,Butajira,2000,Onion,1103.0,15470.0
304,Butajira,2000,Rice,39905.0,117680.0
320,Butajira,2000,Onion,482.0,11514.0
322,Butajira,2000,Rice,22099.0,57236.0
326,Butajira,2000,Wheat,520.0,297.0
348,Butajira,2001,Onion,1165.0,19232.0
351,Butajira,2001,Rice,32878.0,95609.0
365,Butajira,2001,Onion,380.0,8465.0
368,Butajira,2001,Rice,38119.0,108906.0
372,Butajira,2001,Wheat,307.0,213.0
392,Butajira,2002,Onion,776.0,8432.0
395,Butajira,2002,Rice,29066.0,66329.0
409,Butajira,2002,Onion,401.0,7192.0
411,Butajira,2002,Rice,10960.0,20462.0
415,Butajira,2002,Wheat,362.0,333.0
427,Butajira,2002,Orange,13767.0,112541.0
437,Butajira,2002,Tomato,3356.0,16627.0
449,Butajira,2003,Onion,846.0,13250.0
452,Butajira,2003,Rice,17515.0,44891.0
467,Butajira,2003,Onion,535.0,11180.0
470,Butajira,2003,Rice,10826.0,25463.0
473,Butajira,2003,Wheat,414.0,123.0
484,Butajira,2003,Orange,13441.0,224640.0
492,Butajira,2003,Tomato,2827.0,17509.0
503,Butajira,2004,Onion,1324.0,24824.0
506,Butajira,2004,Rice,24335.0,85051.0
520,Butajira,2004,Onion,234.0,4830.0
522,Butajira,2004,Rice,9240.0,21622.0
526,Butajira,2004,Wheat,393.0,88.0
545,Butajira,2005,Onion,985.0,17025.0
548,Butajira,2005,Rice,25008.0,69972.0
561,Butajira,2005,Onion,381.0,9063.0
563,Butajira,2005,Rice,23142.0,55587.0
566,Butajira,2005,Wheat,297.0,175.0
586,Butajira,2006,Onion,869.0,9423.0
589,Butajira,2006,Rice,22349.0,67427.0
601,Butajira,2006,Onion,167.0,4075.0
603,Butajira,2006,Rice,10846.0,31974.0
606,Butajira,2006,Wheat,190.0,50.0
624,Butajira,2007,Onion,2000.0,38000.0
626,Butajira,2007,Rice,30000.0,95000.0
633,Butajira,2007,Rice,14000.0,37000.0
645,Butajira,2008,Onion,1376.0,23531.0
648,Butajira,2008,Rice,30306.0,94615.0
658,Butajira,2008,Onion,173.0,4129.0
660,Butajira,2008,Rice,18416.0,49815.0
662,Butajira,2008,Wheat,164.0,217.0
681,Butajira,2009,Onion,1663.0,29811.0
684,Butajira,2009,Rice,32226.0,101512.0
696,Butajira,2009,Onion,230.0,5665.0
699,Butajira,2009,Rice,19428.0,46899.0
702,Butajira,2009,Wheat,179.0,97.0
722,Butajira,2010,Onion,1620.0,26924.0
725,Butajira,2010,Rice,34973.0,102007.0
736,Butajira,2010,Onion,306.0,8233.0
738,Butajira,2010,Rice,24828.0,69394.0
741,Butajira,2010,Wheat,131.0,171.0
763,Butajira,2011,Onion,2757.0,39563.0
767,Butajira,2011,Rice,37720.0,94531.0
781,Butajira,2011,Onion,208.0,4259.0
783,Butajira,2011,Rice,10948.0,25542.0
787,Butajira,2011,Wheat,75.0,100.0
816,Butajira,2012,Onion,1548.0,25393.0
820,Butajira,2012,Rice,22056.0,58691.0
827,Butajira,2012,Tomato,2552.0,38561.0
843,Butajira,2012,Onion,84.0,1195.0
846,Butajira,2012,Rice,6998.0,17768.0
852,Butajira,2012,Tomato,1395.0,31096.0
854,Butajira,2012,Wheat,134.0,151.0
875,Butajira,2013,Onion,1414.0,31097.0
881,Butajira,2013,Rice,28114.0,59377.0
888,Butajira,2013,Tomato,2991.0,88620.0
905,Butajira,2013,Onion,611.0,14317.0
908,Butajira,2013,Rice,12283.0,28558.0
914,Butajira,2013,Tomato,3482.0,80532.0
916,Butajira,2013,Wheat,62.0,39.0
926,Butajira,2013,Wheat,62.0,39.0
946,Butajira,2014,Onion,1969.0,35214.0
953,Butajira,2014,Rice,22658.0,68155.0
960,Butajira,2014,Tomato,3976.0,113236.0
977,Butajira,2014,Onion,297.0,6767.0
981,Butajira,2014,Rice,6553.0,14377.0
987,Butajira,2014,Tomato,4191.0,87055.0
990,Butajira,2014,Rice,29211.0,82532.0
1001,Butajira,1997,Rice,42300.0,84400.0
1010,Butajira,1997,Rice,57400.0,137400.0
1024,Butajira,1998,Rice,42000.0,105400.0
1034,Butajira,1998,Rice,62400.0,159200.0
1048,Butajira,1999,Rice,37542.0,75477.0
1061,Butajira,1999,Rice,37489.0,76800.0
1065,Butajira,1999,Onion,548.0,8149.0
1081,Butajira,2000,Onion,286.0,3991.0
1085,Butajira,2000,Rice,33776.0,89236.0
1099,Butajira,2000,Onion,230.0,5494.0
1104,Butajira,2000,Rice,41442.0,97181.0
1107,Butajira,2000,Wheat,5.0,3.0
1131,Butajira,2001,Onion,248.0,3441.0
1134,Butajira,2001,Rice,24377.0,55311.0
1148,Butajira,2001,Onion,304.0,6772.0
1150,Butajira,2001,Rice,62049.0,170573.0
1173,Butajira,2002,Onion,205.0,2451.0
1176,Butajira,2002,Rice,20137.0,50020.0
1191,Butajira,2002,Onion,266.0,4753.0
1195,Butajira,2002,Rice,30034.0,76827.0
1198,Butajira,2002,Wheat,5.0,7.0
1211,Butajira,2002,Orange,4.0,39.0
1221,Butajira,2002,Tomato,16838.0,139087.0
1234,Butajira,2003,Onion,253.0,3691.0
1237,Butajira,2003,Rice,18495.0,38562.0
1252,Butajira,2003,Onion,265.0,5538.0
1255,Butajira,2003,Rice,27286.0,46714.0
1258,Butajira,2003,Wheat,7.0,2.0
1271,Butajira,2003,Orange,6.0,96.0
1280,Butajira,2003,Tomato,19636.0,180151.0
1293,Butajira,2004,Onion,250.0,4242.0
1296,Butajira,2004,Rice,19055.0,43331.0
1310,Butajira,2004,Onion,351.0,7244.0
1313,Butajira,2004,Rice,25822.0,69177.0
1338,Butajira,2005,Onion,254.0,4762.0
1341,Butajira,2005,Rice,16240.0,37173.0
1353,Butajira,2005,Onion,253.0,6018.0
1356,Butajira,2005,Rice,66351.0,193612.0
1379,Butajira,2006,Onion,206.0,3454.0
1382,Butajira,2006,Rice,17049.0,42520.0
1395,Butajira,2006,Onion,189.0,4612.0
1398,Butajira,2006,Rice,29164.0,85101.0
1401,Butajira,2006,Wheat,4.0,1.0
1422,Butajira,2007,Rice,15000.0,42000.0
1430,Butajira,2007,Rice,37000.0,116000.0
1443,Butajira,2008,Onion,289.0,4856.0
1446,Butajira,2008,Rice,17596.0,46242.0
1457,Butajira,2008,Onion,171.0,4081.0
1459,Butajira,2008,Rice,37927.0,118636.0
1483,Butajira,2009,Onion,197.0,3190.0
1486,Butajira,2009,Rice,19758.0,56192.0
1498,Butajira,2009,Onion,163.0,4015.0
1500,Butajira,2009,Rice,35155.0,113937.0
1524,Butajira,2010,Onion,178.0,3535.0
1527,Butajira,2010,Rice,18019.0,53639.0
1539,Butajira,2010,Onion,196.0,5274.0
1542,Butajira,2010,Rice,43558.0,131502.0
1565,Butajira,2011,Onion,180.0,2594.0
1568,Butajira,2011,Rice,17342.0,55719.0
1582,Butajira,2011,Onion,196.0,4013.0
1585,Butajira,2011,Rice,33764.0,113211.0
1615,Butajira,2012,Onion,153.0,2921.0
1621,Butajira,2012,Rice,12952.0,45241.0
1629,Butajira,2012,Tomato,8521.0,143886.0
1645,Butajira,2012,Onion,193.0,2745.0
1649,Butajira,2012,Rice,34557.0,126168.0
1654,Butajira,2012,Tomato,4908.0,106037.0
1674,Butajira,2013,Onion,170.0,3201.0
1680,Butajira,2013,Rice,15206.0,48766.0
1689,Butajira,2013,Tomato,8397.0,232496.0
1705,Butajira,2013,Onion,253.0,5928.0
1708,Butajira,2013,Rice,34654.0,120249.0
1713,Butajira,2013,Tomato,5199.0,116546.0
1739,Butajira,2014,Onion,242.0,4443.0
1746,Butajira,2014,Rice,13304.0,44462.0
1752,Butajira,2014,Tomato,8139.0,192268.0
1767,Butajira,2014,Onion,199.0,4534.0
1771,Butajira,2014,Rice,27661.0,87962.0
1776,Butajira,2014,Tomato,4998.0,126185.0
1779,Butajira,2014,Rice,40965.0,132424.0
1789,Butajira,1997,Rice,214100.0,429300.0
1802,Butajira,1997,Rice,154400.0,491500.0
1816,Butajira,1998,Rice,256300.0,386600.0
1830,Butajira,1998,Rice,157600.0,656600.0
1846,Butajira,1999,Rice,244655.0,628606.0
1858,Butajira,1999,Rice,161551.0,645162.0
1863,Butajira,1999,Onion,252.0,4118.0
1879,Butajira,2000,Onion,42.0,586.0
1882,Butajira,2000,Rice,253966.0,683423.0
1897,Butajira,2000,Onion,133.0,2338.0
1901,Butajira,2000,Rice,162861.0,683202.0
1926,Butajira,2001,Onion,122.0,1693.0
1929,Butajira,2001,Rice,220811.0,579850.0
1942,Butajira,2001,Onion,147.0,2325.0
1945,Butajira,2001,Rice,165779.0,750150.0
1972,Butajira,2002,Onion,132.0,1578.0
1974,Butajira,2002,Rice,194809.0,551115.0
1986,Butajira,2002,Onion,140.0,1763.0
1989,Butajira,2002,Rice,106427.0,491906.0
2005,Butajira,2002,Orange,975.0,17315.0
2014,Butajira,2002,Tomato,681.0,4557.0
2027,Butajira,2003,Onion,279.0,4070.0
2030,Butajira,2003,Rice,234673.0,762453.0
2042,Butajira,2003,Onion,24.0,264.0
2045,Butajira,2003,Rice,165321.0,869092.0
2061,Butajira,2003,Orange,1015.0,15401.0
2070,Butajira,2003,Tomato,738.0,7088.0
2083,Butajira,2004,Onion,129.0,2189.0
2085,Butajira,2004,Rice,224521.0,743614.0
2097,Butajira,2004,Onion,79.0,1384.0
2100,Butajira,2004,Rice,162903.0,766296.0
2125,Butajira,2005,Onion,296.0,5550.0
2127,Butajira,2005,Rice,217411.0,348727.0
2140,Butajira,2005,Onion,74.0,1465.0
2143,Butajira,2005,Rice,170012.0,800927.0
2169,Butajira,2006,Onion,457.0,7663.0
2171,Butajira,2006,Rice,227930.0,547716.0
2184,Butajira,2006,Onion,85.0,1014.0
