Zone_Name,Crop,Area,Production
Abeshge,Rice,102,321
Abeshge,Rice,83,300
Abeshge,Rice,189.2,510.84
Abeshge,Rice,52,90.17
Abeshge,Rice,52.94,72.57
Abeshge,Rice,2.09,12.06
Abeshge,Rice,3.5,10
Abeshge,Rice,10779,31863
Abeshge,Rice,9718,27033
Abeshge,Rice,6854.3,18995.62
Abeshge,Rice,6791,20118
Abeshge,Rice,10695.8,31600.82
Abeshge,Rice,10509.37,30760.7
Abeshge,Rice,10681.98,29119.66
Abeshge,Rice,8683.38,25870.98
Abeshge,Rice,921.87,2539.64
Abeshge,Rice,1595.5,3788
Butajira,Rice,35600,75400
Butajira,Rice,18000,37300
Butajira,Wheat,300,200
Butajira,Rice,38300,96800
Butajira,Rice,26600,63900
Butajira,Wheat,400,200
Butajira,Rice,37991,105082
Butajira,Rice,20258,45669
Butajira,Wheat,439,294
Butajira,Onion,1770,32364
Butajira,Onion,1103,15470
Butajira,Rice,39905,117680
Butajira,Onion,482,11514
Butajira,Rice,22099,57236
Butajira,Wheat,520,297
Butajira,Onion,1165,19232
Butajira,Rice,32878,95609
Butajira,Onion,380,8465
Butajira,Rice,38119,108906
Butajira,Wheat,307,213
Butajira,Onion,776,8432
Butajira,Rice,29066,66329
Butajira,Onion,401,7192
Butajira,Rice,10960,20462
Butajira,Wheat,362,333
Butajira,Orange,13767,112541
Butajira,Tomato,3356,16627
Butajira,Onion,846,13250
Butajira,Rice,17515,44891
Butajira,Onion,535,11180
Butajira,Rice,10826,25463
Butajira,Wheat,414,123
Butajira,Orange,13441,224640
Butajira,Tomato,2827,17509
Butajira,Onion,1324,24824
Butajira,Rice,24335,85051
Butajira,Onion,234,4830
Butajira,Rice,9240,21622
Butajira,Wheat,393,88
Butajira,Onion,985,17025
Butajira,Rice,25008,69972
Butajira,Onion,381,9063
Butajira,Rice,23142,55587
Butajira,Wheat,297,175
Butajira,Onion,869,9423
Butajira,Rice,22349,67427
Butajira,Onion,167,4075
Butajira,Rice,10846,31974
Butajira,Wheat,190,50
Butajira,Onion,2000,38000
Butajira,Rice,30000,95000
Butajira,Rice,14000,37000
Butajira,Onion,1376,23531
Butajira,Rice,30306,94615
Butajira,Onion,173,4129
Butajira,Rice,18416,49815
Butajira,Wheat,164,217
Butajira,Onion,1663,29811
Butajira,Rice,32226,101512
Butajira,Onion,230,5665
Butajira,Rice,19428,46899
Butajira,Wheat,179,97
Butajira,Onion,1620,26924
